7938
(1131,4247)
(1326,2417)
(6221,830)
(1421,4396)
(4749,2399)
(6142,2337)
(1202,1340)
(4799,2551)
(185,449)
(6998,3224)
(825,3356)
(4020,5188)
(1947,6075)
(4363,4483)
(5400,2908)
(6804,5511)
(384,5292)
(3064,3560)
(2962,6935)
(4064,4035)
(2644,6006)
(7102,3346)
(1317,4127)
(3965,5439)
(4310,48)
(7052,2712)
(6611,4549)
(1897,2575)
(999,6404)
(4139,2625)
(97,4867)
(3989,6442)
(5720,4605)
(3570,6584)
(3401,4840)
(4745,3638)
(3467,1398)
(4764,6719)
(1851,5023)
(4709,720)
(3327,6019)
(5134,2951)
(5272,4725)
(3624,7075)
(3626,4163)
(3480,664)
(782,6154)
(234,5378)
(4387,924)
(3041,6324)
(6851,2201)
(6151,67)
(2106,1350)
(1561,6191)
(5559,3802)
(4770,5290)
(1126,6888)
(1061,6577)
(10,3247)
(1453,837)
(250,2576)
(4763,2605)
(4402,3249)
(6289,4100)
(4038,4297)
(5746,6079)
(4222,858)
(4621,223)
(4996,1762)
(3338,2766)
(5028,2090)
(4098,6753)
(6389,3685)
(3616,909)
(1419,4950)
(3892,5442)
(6481,972)
(1917,3188)
(831,3495)
(5356,394)
(5856,1366)
(72,157)
(4186,6039)
(3958,5721)
(5249,4601)
(2655,6186)
(88,6940)
(431,305)
(6438,6072)
(1268,3561)
(3509,3115)
(713,6136)
(1962,2476)
(2268,5745)
(6552,6779)
(1849,2374)
(4290,6853)
(1546,5267)
(6993,5639)
(5736,6290)
(1979,2065)
(7082,5543)
(2358,6522)
(2347,6116)
(2606,2858)
(5263,2415)
(6968,2749)
(6483,2401)
(1600,3697)
(860,3051)
(7091,5674)
(5666,5597)
(251,2326)
(6802,5478)
(5054,85)
(2757,2107)
(23,3292)
(5665,6056)
(2909,1831)
(4099,3483)
(6988,3453)
(5051,344)
(1162,796)
(6586,6063)
(2373,3897)
(6930,3935)
(3300,3711)
(3428,589)
(383,2947)
(5828,5273)
(1311,4442)
(5683,229)
(4715,5569)
(5065,5920)
(4766,6597)
(6388,4049)
(3312,1598)
(391,3925)
(5760,5711)
(3701,5451)
(4115,5293)
(2968,5714)
(3642,3947)
(5990,3963)
(6955,2190)
(4105,1772)
(4729,1212)
(2885,3840)
(756,5444)
(5469,1897)
(3194,4677)
(6466,3337)
(5921,1670)
(3246,2128)
(1829,987)
(4971,5530)
(2766,3278)
(94,4087)
(244,6713)
(3304,5103)
(1565,744)
(2661,5584)
(1516,1140)
(5009,6134)
(3741,1952)
(3336,2875)
(1578,4309)
(2255,7004)
(5430,1786)
(1967,4663)
(4835,7094)
(3929,4413)
(6013,1756)
(6063,2288)
(6500,5538)
(2676,8)
(5774,1211)
(1835,5857)
(3383,3097)
(1904,2051)
(2625,937)
(5454,5635)
(6091,1349)
(3932,2238)
(6172,897)
(5256,1242)
(5967,986)
(1563,2298)
(4869,4993)
(5512,5103)
(4357,5938)
(1542,1032)
(293,5477)
(5952,4296)
(6297,3156)
(3324,5039)
(2186,1452)
(2264,5132)
(744,863)
(4337,2285)
(197,6484)
(6207,3920)
(4743,6171)
(2653,5400)
(6010,5272)
(1975,5990)
(5779,3339)
(421,2034)
(5834,297)
(2028,1203)
(2536,3616)
(4949,5561)
(6285,2798)
(38,5866)
(6053,5559)
(1890,2254)
(1982,3202)
(3818,3618)
(443,3165)
(3062,5279)
(3746,1785)
(4439,228)
(1176,3696)
(6174,5894)
(191,6432)
(3118,2014)
(4246,1315)
(2596,1248)
(4174,3734)
(1516,6527)
(4902,4019)
(221,3255)
(4757,2046)
(6464,1092)
(1188,3161)
(5610,6255)
(2720,6187)
(6363,679)
(1425,1940)
(261,5010)
(6673,1991)
(204,2887)
(6033,4240)
(5405,209)
(260,3131)
(1782,1467)
(1660,2539)
(3426,4365)
(2125,108)
(4171,698)
(5638,6974)
